bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
13500,50,20,50,0.955666667,9.135558
13500,50,20,100,0.956333333,18.397658
13500,50,25,10,0.926833333,2.002791
13500,50,25,20,0.946166667,3.7874
13500,50,25,30,0.949666667,5.63614
13500,50,25,40,0.952166667,7.464373
13500,50,25,50,0.952166667,9.144308
13500,50,25,100,0.957,18.470752
13500,100,5,10,0.803333333,1.380632
13500,100,5,20,0.8255,2.552629
13500,100,5,30,0.830333333,3.927688
13500,100,5,40,0.836166667,5.136761
13500,100,5,50,0.836333333,6.357533
13500,100,5,100,0.837833333,12.525202
13500,100,10,10,0.919666667,2.883027
13500,100,10,20,0.935166667,5.512005
13500,100,10,30,0.936833333,8.074584
13500,100,10,40,0.937666667,10.645632
13500,100,10,50,0.938,13.4107
13500,100,10,100,0.941666667,26.548094
13500,100,15,10,0.928,3.547046
13500,100,15,20,0.947,6.647547
13500,100,15,30,0.948666667,9.798242
13500,100,15,40,0.952166667,13.086795
13500,100,15,50,0.951333333,16.303309
13500,100,15,100,0.955833333,32.274702
13500,100,20,10,0.9335,3.334303
13500,100,20,20,0.951666667,6.59191
13500,100,20,30,0.955,9.91446
13500,100,20,40,0.954,13.164325
13500,100,20,50,0.955833333,16.579511
13500,100,20,100,0.956333333,32.425536
13500,100,25,10,0.933166667,4.087713
13500,100,25,20,0.945333333,7.036265
13500,100,25,30,0.95,10.701735
13500,100,25,40,0.9535,14.849102
13500,100,25,50,0.9555,17.843724
13500,100,25,100,0.955833333,35.732569
13500,100,25,150,0.958,55.380049
13500,100,25,200,0.959,69.413839
27000,10,5,10,0.779,0.402075
27000,10,5,20,0.817,0.643276
27000,10,5,30,0.824333333,0.874142
27000,10,5,40,0.834833333,1.139952
27000,10,5,50,0.836333333,1.368518
27000,10,5,100,0.847,2.56366
27000,10,10,10,0.902833333,0.750371
27000,10,10,20,0.917,1.306773
27000,10,10,30,0.923166667,1.920964
27000,10,10,40,0.9245,2.450802
