bootstrap_size;no_features;max_depth;no_trees;Accuracy;Seed set
5400;100;35;10;0,904666667;0
5400;100;35;20;0,935333333;0
5400;100;35;30;0,944833333;0
5400;100;35;40;0,942833333;0
5400;100;35;50;0,948166667;0
5400;100;45;10;0,909166667;0
5400;100;45;20;0,931833333;0
5400;100;45;30;0,944;0
5400;100;45;40;0,946666667;0
5400;100;45;50;0,948166667;0
5400;100;55;10;0,9135;0
5400;100;55;20;0,9355;0
5400;100;55;30;0,941833333;0
5400;100;55;40;0,944333333;0
5400;100;55;50;0,946833333;0
5400;150;25;50;0,9495;1
5400;150;25;100;0,9515;1
5400;150;25;150;0,952333333;1
5400;150;25;200;0,951666667;1
5400;200;25;50;0,946833333;1
5400;200;25;100;0,949166667;1
5400;200;25;150;0,949333333;1
5400;200;25;200;0,949166667;1
13500;10;5;10;0,496;1
13500;10;5;20;0,567833333;1
13500;10;5;30;0,613;1
13500;10;5;40;0,618833333;1
13500;10;5;50;0,627333333;1
13500;10;5;100;0,6475;1
13500;10;10;10;0,529833333;1
13500;10;10;20;0,643166667;1
13500;10;10;30;0,684833333;1
13500;10;10;40;0,679333333;1
13500;10;10;50;0,667333333;1
13500;10;10;100;0,685666667;1
13500;10;15;10;0,490166667;1
13500;10;15;20;0,603666667;1
13500;10;15;30;0,666;1
13500;10;15;40;0,664333333;1
13500;10;15;50;0,645333333;1
13500;10;15;100;0,674166667;1
13500;10;20;10;0,4765;1
13500;10;20;20;0,597166667;1
13500;10;20;30;0,658166667;1
13500;10;20;40;0,663333333;1
13500;10;20;50;0,6385;1
13500;10;20;100;0,670833333;1
13500;10;25;10;0,4765;1
13500;10;25;20;0,595333333;1
13500;10;25;30;0,661166667;1
13500;10;25;40;0,667;1
13500;10;25;50;0,643166667;1
13500;10;25;100;0,675833333;1
13500;20;5;10;0,675333333;1
13500;20;5;20;0,741333333;1
13500;20;5;30;0,773166667;1
13500;20;5;40;0,794166667;1
13500;20;5;50;0,797666667;1
13500;20;5;100;0,8085;1
13500;20;10;10;0,727333333;1
13500;20;10;20;0,8185;1
13500;20;10;30;0,850833333;1
13500;20;10;40;0,8655;1
13500;20;10;50;0,8665;1
13500;20;10;100;0,886333333;1
13500;20;15;10;0,701666667;1
13500;20;15;20;0,808666667;1
13500;20;15;30;0,848666667;1
13500;20;15;40;0,8675;1
13500;20;15;50;0,870833333;1
13500;20;15;100;0,897166667;1
13500;20;20;10;0,69;1
13500;20;20;20;0,807333333;1
13500;20;20;30;0,851333333;1
13500;20;20;40;0,868833333;1
13500;20;20;50;0,872666667;1
13500;20;20;100;0,901;1
13500;20;25;10;0,686833333;1
13500;20;25;20;0,807;1
