,bootstrap_size,no_features,max_depth,no_trees,accuracy,seconds
31,5400.0,100.0,25.0,20.0,0.9331666666666668,1309.0993330000001
32,5400.0,100.0,25.0,30.0,0.943,1357.3472769999998
33,5400.0,100.0,25.0,40.0,0.946,1322.8425710000001
34,5400.0,100.0,25.0,50.0,0.9503333333333334,1305.736328
35,5400.0,100.0,25.0,100.0,0.9521666666666668,6634.734966
36,13500.0,10.0,25.0,10.0,0.4765,114.83183999999999
37,13500.0,10.0,25.0,20.0,0.5953333333333334,165.23601499999998
38,13500.0,10.0,25.0,30.0,0.6611666666666667,155.238757
39,13500.0,10.0,25.0,40.0,0.667,127.78319599999999
40,13500.0,10.0,25.0,50.0,0.6431666666666667,111.45886200000001
41,13500.0,10.0,25.0,100.0,0.6758333333333333,671.0520240000001
42,13500.0,20.0,25.0,10.0,0.6868333333333333,328.958081
43,13500.0,20.0,25.0,20.0,0.807,388.48286
44,13500.0,20.0,25.0,30.0,0.8541666666666666,381.586307
45,13500.0,20.0,25.0,40.0,0.8691666666666666,361.26466400000004
46,13500.0,20.0,25.0,50.0,0.872,314.464848
47,13500.0,20.0,25.0,100.0,0.9023333333333332,1855.414014
48,13500.0,30.0,25.0,10.0,0.823,610.700458
49,13500.0,30.0,25.0,20.0,0.8875,655.383934
50,13500.0,30.0,25.0,30.0,0.9109999999999999,664.4696309999999
51,13500.0,30.0,25.0,40.0,0.9198333333333332,627.9961940000001
52,13500.0,30.0,25.0,50.0,0.9225,554.598523
53,13500.0,30.0,25.0,100.0,0.9368333333333332,3208.655273
54,13500.0,40.0,25.0,10.0,0.8835,999.015765
55,13500.0,40.0,25.0,20.0,0.9145,1050.5708630000001
56,13500.0,40.0,25.0,30.0,0.9305,1047.6666300000002
57,13500.0,40.0,25.0,40.0,0.9366666666666666,997.904736
58,13500.0,40.0,25.0,50.0,0.9403333333333334,917.052007
59,13500.0,40.0,25.0,100.0,0.948,5130.269211
60,13500.0,50.0,25.0,10.0,0.8945,1391.752846
61,13500.0,50.0,25.0,20.0,0.9283333333333332,1476.2990960000002
62,13500.0,50.0,25.0,30.0,0.9406666666666668,1529.687866
63,13500.0,50.0,25.0,40.0,0.9461666666666668,1379.566708
64,13500.0,50.0,25.0,50.0,0.9465,1329.72217
65,13500.0,50.0,25.0,100.0,0.9548333333333332,7246.830690999999
66,13500.0,100.0,25.0,10.0,0.9266666666666666,4542.127413
67,13500.0,100.0,25.0,20.0,0.9470000000000001,6547.238228
68,13500.0,100.0,25.0,30.0,0.9553333333333334,6606.894931
69,13500.0,100.0,25.0,40.0,0.9576666666666668,4775.887307999999
70,13500.0,100.0,25.0,50.0,0.9586666666666668,6054.524082
71,13500.0,100.0,25.0,100.0,0.9621666666666666,26089.218081
72,5400.0,10.0,15.0,10.0,0.4693333333333333,54.156139
73,5400.0,10.0,15.0,20.0,0.5255,41.482041
74,5400.0,10.0,15.0,30.0,0.5716666666666667,52.647176
75,5400.0,10.0,15.0,40.0,0.6171666666666666,56.883843
76,5400.0,10.0,15.0,50.0,0.6318333333333334,55.706991
77,5400.0,10.0,15.0,100.0,0.6806666666666666,282.335789
78,13500.0,10.0,15.0,10.0,0.49016666666666664,108.733154
79,13500.0,10.0,15.0,20.0,0.6036666666666667,154.508711
80,13500.0,10.0,15.0,30.0,0.666,145.678329
81,13500.0,10.0,15.0,40.0,0.6643333333333333,119.587121
82,13500.0,10.0,15.0,50.0,0.6453333333333333,105.750133
83,13500.0,10.0,15.0,100.0,0.6741666666666667,631.99051
84,5400.0,20.0,15.0,10.0,0.7225,126.26027
85,5400.0,20.0,15.0,20.0,0.7818333333333334,114.653318
86,5400.0,20.0,15.0,30.0,0.8341666666666666,135.063723
87,5400.0,20.0,15.0,40.0,0.8495,124.653568
88,5400.0,20.0,15.0,50.0,0.8533333333333334,129.054795
89,5400.0,20.0,15.0,100.0,0.8885,649.440833
90,13500.0,20.0,15.0,10.0,0.7016666666666667,313.81758
91,13500.0,20.0,15.0,20.0,0.8086666666666666,374.156182
92,13500.0,20.0,15.0,30.0,0.8486666666666667,367.384296
93,13500.0,20.0,15.0,40.0,0.8675,348.896255
94,13500.0,20.0,15.0,50.0,0.8708333333333333,301.658105
95,13500.0,20.0,15.0,100.0,0.8971666666666667,1781.683235
96,5400.0,30.0,15.0,10.0,0.8226666666666667,215.915455
97,5400.0,30.0,15.0,20.0,0.863,187.695938
98,5400.0,30.0,15.0,30.0,0.8898333333333334,214.83335
99,5400.0,30.0,15.0,40.0,0.9005,205.995988
100,5400.0,30.0,15.0,50.0,0.9116666666666666,208.412033
101,5400.0,30.0,15.0,100.0,0.9248333333333333,1079.791354
102,13500.0,30.0,15.0,10.0,0.831,598.961857
103,13500.0,30.0,15.0,20.0,0.8861666666666667,645.104432
104,13500.0,30.0,15.0,30.0,0.9081666666666667,653.27358
105,13500.0,30.0,15.0,40.0,0.9175,617.027533
106,13500.0,30.0,15.0,50.0,0.9186666666666666,542.07901
107,13500.0,30.0,15.0,100.0,0.9351666666666667,3147.748762
108,5400.0,40.0,15.0,10.0,0.8641666666666666,330.144907
109,5400.0,40.0,15.0,20.0,0.9006666666666666,289.182476
110,5400.0,40.0,15.0,30.0,0.9158333333333334,308.65838
111,5400.0,40.0,15.0,40.0,0.9223333333333333,310.023728
112,5400.0,40.0,15.0,50.0,0.9278333333333333,315.35746
113,5400.0,40.0,15.0,100.0,0.9388333333333333,1608.297019
114,13500.0,40.0,15.0,10.0,0.8845,1001.599854
115,13500.0,40.0,15.0,20.0,0.914,1057.51429
116,13500.0,40.0,15.0,30.0,0.9305,1053.574827
117,13500.0,40.0,15.0,40.0,0.9363333333333334,1004.523035
118,13500.0,40.0,15.0,50.0,0.9395,921.203902
119,13500.0,40.0,15.0,100.0,0.9471666666666667,5146.042022
120,5400.0,50.0,15.0,10.0,0.8805,466.891128
121,5400.0,50.0,15.0,20.0,0.9181666666666667,427.09757
122,5400.0,50.0,15.0,30.0,0.9298333333333333,447.02028
123,5400.0,50.0,15.0,40.0,0.935,436.302948
124,5400.0,50.0,15.0,50.0,0.941,452.602349
125,5400.0,50.0,15.0,100.0,0.945,3636.556979
126,13500.0,50.0,15.0,10.0,0.8965,2488.357502
127,13500.0,50.0,15.0,20.0,0.929,1690.664968
128,13500.0,50.0,15.0,30.0,0.9403333333333334,1585.842015
129,13500.0,50.0,15.0,40.0,0.945,1474.39989
130,13500.0,50.0,15.0,50.0,0.946,1369.611353
131,13500.0,50.0,15.0,100.0,0.9535,7261.499455
132,5400.0,100.0,15.0,10.0,0.9053333333333333,1386.579086
133,5400.0,100.0,15.0,20.0,0.9328333333333333,1327.19493
134,5400.0,100.0,15.0,30.0,0.943,1376.616733
135,5400.0,100.0,15.0,40.0,0.9458333333333333,1342.761293
136,5400.0,100.0,15.0,50.0,0.9498333333333333,1325.107513
137,5400.0,100.0,15.0,100.0,0.9518333333333333,6724.431041
138,13500.0,100.0,15.0,10.0,0.926,4577.457909
139,13500.0,100.0,15.0,20.0,0.9473333333333334,4818.761454
140,13500.0,100.0,15.0,30.0,0.9546666666666667,4805.494941
141,13500.0,100.0,15.0,40.0,0.9575,4631.063551
142,13500.0,100.0,15.0,50.0,0.9588333333333333,4788.007716
143,13500.0,100.0,15.0,100.0,0.9613333333333334,24432.380928
144,5400.0,10.0,20.0,10.0,0.4651666666666667,56.667423
145,5400.0,10.0,20.0,20.0,0.5316666666666666,42.986018
146,5400.0,10.0,20.0,30.0,0.5775,54.956997
147,5400.0,10.0,20.0,40.0,0.623,58.240216
148,5400.0,10.0,20.0,50.0,0.6385,58.014819
149,5400.0,10.0,20.0,100.0,0.688,291.167167
150,13500.0,10.0,20.0,10.0,0.4765,114.674261
151,13500.0,10.0,20.0,20.0,0.5971666666666666,164.737349
152,13500.0,10.0,20.0,30.0,0.6581666666666667,154.305254
153,13500.0,10.0,20.0,40.0,0.6633333333333333,127.17283
154,13500.0,10.0,20.0,50.0,0.6385,111.078879
155,13500.0,10.0,20.0,100.0,0.6708333333333333,667.875522
156,5400.0,20.0,20.0,10.0,0.7191666666666666,128.467368
157,5400.0,20.0,20.0,20.0,0.7746666666666666,117.762003
158,5400.0,20.0,20.0,30.0,0.8306666666666667,136.763176
159,5400.0,20.0,20.0,40.0,0.8513333333333334,127.730339
160,5400.0,20.0,20.0,50.0,0.8551666666666666,131.810425
161,5400.0,20.0,20.0,100.0,0.896,661.335017
162,13500.0,20.0,20.0,10.0,0.69,327.847052
